subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa,Pi_mmHg
1,1.1143824541253415,56.39731554871534,25.167325004382384,64.19992074109349
1,1.1147577039141408,56.68542037321398,25.1967584377957,64.52788505496163
1,1.1151329537029397,56.97572952068501,25.226320551930442,64.85835866131539
1,1.115508203491739,57.268270213403916,25.256012829031402,65.19137254864971
1,1.1158834532805382,57.56307004560008,25.285836767935226,65.52695812887353
1,1.1162587030693374,57.860156989044015,25.31579388427802,65.86514724366995
1,1.1166339528581364,58.159559398725094,25.34588571070571,66.20597217095951
1,1.1170092026469356,58.46130601862278,25.376113797087555,66.5494656314699
1,1.1173844524357348,58.765425987569714,25.40647971073208,66.89566079541014
1,1.117759702224534,59.07194884521175,25.43698503660616,67.24459128925527
1,1.118134952013333,59.380904538065124,25.46763137755709,67.59629120264144
1,1.1185102018021322,59.69232342567311,25.49842035453763,67.95079509537447
1,1.1188854515909314,60.00623628686155,25.529353606833972,68.30813800455068
1,1.1192607013797307,60.32267432609883,25.560432792296922,68.66835545179696
1,1.1196359511685297,60.641669179959294,25.59165958757619,69.03148345062819
1,1.1200112009573289,60.96325292369278,25.623035688357824,69.39755851392586
1,1.120386450746128,61.287458077901995,25.654562809604897,69.76661766153913
1,1.1207617005349273,61.61431761533005,25.686242685801414,70.13869842801151
1,1.1211369503237263,61.943864967759495,25.718077071199584,70.5138388704344
1,1.1215122001125255,62.27613403302627,25.750067740070506,70.89207757643128
1,1.1218874499013247,62.61115918214696,25.782216486958117,71.27345367227122
1,1.122262699690124,62.94897526656687,25.814525126936736,71.65800683111954
1,1.122637949478923,63.289617625525445,25.846995495872044,72.04577728142243
1,1.1230131992677221,63.63312209354643,25.879629450685783,72.43680581543323
1,1.1233884490565214,63.97952500804908,25.912428869623756,72.83113379787672
1,1.1237636988453206,64.32886321708875,25.945395652527917,73.22880317476063
1,1.1241389486341196,64.68117408722395,25.97853172111175,73.62985648233105
1,1.1245141984229188,65.03649551151673,26.01183901923985,74.03433685617978
1,1.124889448211718,65.39486591766342,26.045319513210977,74.44228804049986
1,1.1252646980005172,65.75632427626363,26.078975192045235,74.85375439749859
1,1.1256399477893162,66.12091010922582,26.112808067775013,75.2687809169662
