subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa
1,1.0,10.424854600219088,18.478282873908668
1,1.0009045226130653,10.673893562839204,18.528322059953332
1,1.0018090452261306,10.92329452201228,18.578280513002262
1,1.002713567839196,11.173073135061914,18.628160027746258
1,1.0036180904522614,11.423245290635151,18.677962414855166
1,1.0045226130653266,11.673827116912708,18.727689501539988
1,1.005427135678392,11.924834990011544,18.777343132126436
1,1.0063316582914572,12.176285542586871,18.82692516864033
1,1.0072361809045227,12.428195672640804,18.87643749140519
1,1.008140703517588,12.680582552544466,18.925881999652468
1,1.0090452261306533,12.933463638281495,18.975260612144673
1,1.0099497487437186,13.186856678919952,19.024575267811873
1,1.0108542713567839,13.440779726321027,19.073827926401897
1,1.0117587939698491,13.695251145092636,19.123020569144757
1,1.0126633165829146,13.950289622796166,19.172155199431593
1,1.01356783919598,14.205914180414968,19.221233843508617
1,1.0144723618090452,14.46214418309427,19.27025855118662
1,1.0153768844221105,14.718999351160873,19.3192313965663
1,1.0162814070351758,14.97649977143255,19.36815447878001
1,1.0171859296482413,15.23466590882742,19.417029922750448
1,1.0180904522613066,15.49351861828275,19.465859879966597
1,1.0189949748743719,15.753079156994692,19.514646529277748
1,1.0198994974874371,16.01336919698887,19.563392077705785
1,1.0208040201005024,16.27441083803384,19.612098761276588
1,1.021708542713568,16.53622662090877,19.660768845870876
1,1.0226130653266332,16.798839541037015,19.70940462809515
1,1.0235175879396985,17.062273062499273,19.758008436173533
1,1.0244221105527638,17.326551132437512,19.806582630860696
1,1.025326633165829,17.5916981958644,19.855129606376924
1,1.0262311557788946,17.857739210891168,19.903651791365707
1,1.0271356783919598,18.12469966438833,19.952151649874594
1,1.0280402010050251,18.392605588094778,20.00063168236015
1,1.0289447236180904,18.66148357518892,20.04909442671739
1,1.0298492462311557,18.931360797339245,20.097542459334804
1,1.030753768844221,19.202265022249694,20.145978396175444
1,1.0316582914572865,19.474224631717057,20.19440489388502
1,1.0325628140703518,19.747268640217655,20.24282465092766
1,1.033467336683417,20.021426714042143,20.291240408750276
1,1.0343718592964823,20.296729190996185,20.339654952976428
1,1.0352763819095476,20.57320710068701,20.3880711146303
1,1.0361809045226131,20.850892185416058,20.436491771392035
1,1.0370854271356784,21.129816921697994,20.484919848885095
1,1.0379899497487437,21.410014542428534,20.533358321996733
1,1.038894472361809,21.691519059722452,20.581810216232576
1,1.0397989949748743,21.97436528844569,20.630278609106192
1,1.0407035175879398,22.258588870465132,20.67876663156493
1,1.041608040201005,22.544226299640854,20.727277469452776
1,1.0425125628140703,22.83131494758762,20.775814365011833
1,1.0434170854271356,23.11989309023045,20.824380618423024
1,1.044321608040201,23.409999935183727,20.87297958938759
1,1.0452261306532664,23.701675649981688,20.9216146987505
1,1.0461306532663317,23.99496139118983,20.970289430166915
1,1.047035175879397,24.289899334429116,21.01900733181329
1,1.0479396984924623,24.586532705343707,21.067772018144115
1,1.0488442211055276,24.88490581154616,21.116587171695908
1,1.049748743718593,25.185064075574527,21.1654565449399
1,1.0506532663316583,25.48705406889623,21.214383962184655
1,1.0515577889447236,25.790923546997277,21.263373321530523
1,1.052462311557789,26.09672148559344,21.312428596877105
1,1.0533668341708542,26.404498118004366,21.36155383998559
1,1.0542713567839195,26.71430497373196,21.41075318259766
1,1.055175879396985,27.02619491828534,21.46003083861243
1,1.0560804020100503,27.34022219429724,21.509391106323587
1,1.0569849246231156,27.65644246397855,21.558838370718206
1,1.0578894472361808,27.97491285295805,21.608377105839395
1,1.0587939698492461,28.29569199555786,21.658011877214623
1,1.0596984924623116,28.618840081556097,21.70774734435171
